"","scores","m","norm.scores","clump.score.5e3","m.clump.5e3","norm.clump.score.5e3"
"HG01879",25.9634,31430,0.000826070633153038,14.2435,8848,0.00160979882459313
"NA19625",4.6155,31426,0.000146868834722841,12.4514,8848,0.00140725587703436
"HG03006",1.4294,31430,4.5478841870824e-05,11.7123,8847,0.00132387249915225
"HG00867",-17.5622,31430,-0.000558771874005727,10.1069,8849,0.0011421516555543
"NA06984",-17.5027,31431,-0.000556861060736216,9.5085,8848,0.00107464963833635
"NA18525",-21.6219,31431,-0.000687916388279087,9.0906,8848,0.00102741862567812
"HG00403",-14.1272,31431,-0.000449467086634215,8.8746,8850,0.00100277966101695
"HG01119",-5.1403,31429,-0.000163552769734958,13.4151,8848,0.00151617314647378
"HG02922",9.3784,31428,0.000298409061982945,7.6741,8848,0.000867325949367088
"HG00171",21.1069,31429,0.000671574023990582,15.0487,8847,0.00170099468746468
"HG00155",-0.602100000000001,31427,-1.91586852069876e-05,8.662,8847,0.000979088956708489
"NA20868",-9.1585,31427,-0.000291421389251281,10.2661,8848,0.00116027350813743
"HG03024",-0.979100000000001,31431,-3.11507747128631e-05,11.679,8850,0.00131966101694915
"HG01500",-3.6233,31430,-0.000115281578110086,13.6216,8848,0.00153951175406872
"HG03871",-38.5247,31432,-0.00122565220157801,5.9748,8850,0.000675118644067797
"NA18939",-21.8695,31430,-0.000695816099268215,10.0954,8849,0.00114085207368064
"HG01595",-7.5113,31431,-0.000238977442652159,11.0875,8850,0.00125282485875706
"NA19331",8.3784,31430,0.000266573337575565,11.204,8849,0.00126613176630128
"HG03057",4.9089,31431,0.000156180204256944,10.0901,8849,0.00114025313594756
"NA19734",12.021,31431,0.000382456810155579,14.1218,8849,0.00159586393942818
"HG01565",-19.6882,31428,-0.000626454117347588,12.0698,8849,0.00136397333031981
"HG03022",-12.2923,31430,-0.000391100859051861,10.2238,8849,0.00115536218781783
"HG00551",-12.3892,31429,-0.00039419644277578,9.7916,8849,0.00110652051079218
"HG03646",-7.7857,31430,-0.00024771555838371,11.1048,8848,0.00125506329113924
"NA20502",-6.9179,31431,-0.000220097992427858,9.5531,8848,0.00107969032549729
"NA18486",-11.3217,31424,-0.000360288314663951,10.2185,8845,0.00115528547201809
"Altai",-3.4795,27654,-0.000125822665798799,13.5745,7821,0.00173564761539445
"Denisovian",9.5923,27647,0.000346956270119724,18.3676,7820,0.00234879795396419
"Vindija",-3.3609,27648,-0.000121560329861111,10.8932,7819,0.00139317048215884
